framework,algorithm,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms,golden_rmse,finite_trajectories,failed_trajectories
julia,tsit5,adaptive,julia,both,131072,tol,0.0001,20,41.0038,41.27113,41.8934,44.60957500000002,73.0749,0.022567728717936452,131072,0
julia,tsit5,adaptive,julia,both,131072,tol,0.001,20,28.9043,28.969185,29.58615,73.91246,73.9592,0.11875780407866365,131072,0
julia,tsit5,adaptive,julia,both,131072,tol,0.010000000000000002,20,23.9856,24.03747,24.6687,73.18628500000001,78.3901,1.0568131179399416,131072,0
julia,tsit5,adaptive,julia,both,131072,tol,1.0000000000000001e-7,10,121.0919,121.09882999999999,121.50135,122.67385999999999,122.9534,0.000280050750146192,131072,0
julia,tsit5,adaptive,julia,both,131072,tol,1.0e-5,20,55.2166,55.373065000000004,56.202600000000004,56.651869999999995,57.0408,0.002714417651392164,131072,0
julia,tsit5,adaptive,julia,both,131072,tol,1.0e-6,20,77.661,77.666795,78.39214999999999,80.96818999999999,86.5654,0.00038363723832949024,131072,0
julia,tsit5,adaptive,julia,both,131072,tol,1.0e-8,10,566.9874,570.214125,576.0919,581.01674,582.0044,0.00032469481600240973,131072,0
julia,tsit5,adaptive,julia,none,131072,tol,0.0001,20,37.0104,37.054765,37.31965,37.632515,37.6404,0.022567728717936452,131072,0
julia,tsit5,adaptive,julia,none,131072,tol,0.001,20,24.4881,24.491615,24.6441,24.926265,25.0149,0.11875780407866365,131072,0
julia,tsit5,adaptive,julia,none,131072,tol,0.010000000000000002,20,19.6763,19.739379999999997,19.9249,20.207105,20.2794,1.0568131179399416,131072,0
julia,tsit5,adaptive,julia,none,131072,tol,1.0000000000000001e-7,10,116.3448,116.35605000000001,116.5584,116.736905,116.7554,0.000280050750146192,131072,0
julia,tsit5,adaptive,julia,none,131072,tol,1.0e-5,20,51.0255,51.02626,51.1994,51.331365,51.3364,0.002714417651392164,131072,0
julia,tsit5,adaptive,julia,none,131072,tol,1.0e-6,20,73.1172,73.151305,73.23745,73.38196,73.4249,0.00038363723832949024,131072,0
julia,tsit5,adaptive,julia,none,131072,tol,1.0e-8,10,559.4037,561.8277149999999,566.9612500000001,574.99739,576.4562,0.00032469481600240973,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.0001220703125,10,2338.2967,2338.4685099999997,2339.54225,2341.3258349999996,2341.6344,0.0022311093521687948,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.000244140625,10,1172.2964,1172.313005,1172.6695,1175.1352000000002,1175.6599,0.001418559844578914,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.00048828125,10,588.0071,588.07577,589.0052499999999,590.91931,592.1227,0.0011197921305648212,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.0009765625,10,296.3923,296.54782,297.18179999999995,297.76925000000006,297.8201,0.0007775806787789185,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.001953125,10,149.9667,150.390555,151.2783,152.37506000000002,152.5142,0.0005352288392286113,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.00390625,20,77.6259,77.679195,78.20445,78.942265,79.4888,0.00040041680589290434,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.0078125,20,40.7889,41.41685,41.71215,77.550205,85.7317,0.0003002112649623285,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.015625,20,23.1073,23.19147,23.478,26.624785000000035,72.3385,0.0003144711902231461,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.03125,20,13.8891,13.915415000000001,14.557749999999999,23.62865500000009,147.7985,0.009449795565224765,131072,0
julia,tsit5,fixed,fixed,both,131072,dt,0.0625,20,9.0807,9.28495,9.52515,10.221910000000001,10.4425,1.080155039057269,131072,0
