tol,traj,s1,s2,s3,naccept,nreject,converged
0.01,0,3.28495116e-05,0,0,11,0,1
0.01,1,0.000977128977,0.00085284427,1.0348921e-05,11,0,1
0.01,2,0.00195020542,0.00173600914,2.16892786e-05,11,0,1
0.01,3,0.00295271724,0.0026501338,3.40731458e-05,11,0,1
0.01,4,0.00398527086,0.00359586626,4.75546076e-05,11,0,1
0.01,5,0.00504794111,0.00457387045,6.21905128e-05,11,0,1
0.01,6,0.00614175387,0.00558480946,7.80389746e-05,11,0,1
0.01,7,0.00726697408,0.00662936503,9.51612456e-05,11,0,1
0.01,8,0.00842442364,0.0077082268,0.000113620255,11,0,1
0.01,9,0.00961430557,0.00882209372,0.000133482419,11,0,1
0.01,10,0.0108375773,0.00997167081,0.000154815192,11,0,1
0.01,11,0.0120944194,0.011157685,0.000177690497,11,0,1
0.01,12,0.0133859338,0.0123808589,0.000202180614,11,0,1
0.01,13,0.0147123327,0.0136419414,0.000228362944,11,0,1
0.01,14,0.0160742141,0.0149416821,0.000256316882,11,0,1
0.01,15,0.0174726602,0.0162808318,0.000286122813,11,0,1
0.01,16,0.0189075042,0.0176601857,0.0003178693,11,0,1
0.01,17,0.0203799885,0.019080516,0.000351642375,11,0,1
0.01,18,0.0218905807,0.020542616,0.000387534208,11,0,1
0.01,19,0.0234400593,0.0220472887,0.000425639038,11,0,1
0.01,20,0.0250286032,0.0235953759,0.000466058438,11,0,1
0.01,21,0.0266573671,0.0251876842,0.000508891651,11,0,1
0.01,22,0.028326882,0.0268250648,0.000554244907,11,0,1
0.01,23,0.0300377589,0.028508367,0.000602228334,11,0,1
0.01,24,0.0317907892,0.0302384533,0.000652954797,11,0,1
0.01,25,0.0335864089,0.0320162214,0.000706543913,11,0,1
0.01,26,0.0354256257,0.0338425413,0.000763114833,11,0,1
0.01,27,0.037309017,0.0357183143,0.000822794449,11,0,1
0.01,28,0.0392374024,0.0376444533,0.000885711866,11,0,1
0.01,29,0.0412113145,0.0396219045,0.000952004688,11,0,1
0.01,30,0.0432315804,0.0416515879,0.00102181092,11,0,1
0.01,31,0.0452989638,0.0437344611,0.00109527493,11,0,1
0.01,32,0.0474142767,0.0458714887,0.00117254548,11,0,1
0.01,33,0.0495781936,0.0480636433,0.00125377765,11,0,1
0.01,34,0.0517915338,0.050311923,0.0013391308,11,0,1
0.01,35,0.054055009,0.0526173338,0.0014287713,11,0,1
0.01,36,0.0563695543,0.0549808778,0.00152286678,11,0,1
0.01,37,0.0587357283,0.057403598,0.00162159733,11,0,1
0.01,38,0.0611545481,0.05988653,0.00172514224,11,0,1
0.01,39,0.063626796,0.0624307655,0.00183369219,11,0,1
0.01,40,0.0661532283,0.0650373176,0.00194743893,11,0,1
0.01,41,0.0687348172,0.0677072927,0.00206658337,11,0,1
0.01,42,0.0713721961,0.0704418197,0.00219133706,11,0,1
0.01,43,0.0740664303,0.0732419863,0.00232191011,11,0,1
0.01,44,0.0768181756,0.0761089101,0.00245852629,11,0,1
0.01,45,0.0796286017,0.0790437534,0.0026014105,11,0,1
0.01,46,0.0824982747,0.0820476562,0.00275080302,11,0,1
0.01,47,0.0854282975,0.0851217881,0.00290694227,11,0,1
0.01,48,0.0884195045,0.0882673711,0.00307008484,11,0,1
0.01,49,0.0914728269,0.0914855376,0.00324048358,11,0,1
0.01,50,0.0945891663,0.0947775766,0.00341841253,11,0,1
0.01,51,0.097769469,0.0981446579,0.003604142,11,0,1
0.01,52,0.101014704,0.10158807,0.0037979593,11,0,1
0.01,53,0.104325764,0.105109014,0.00400015526,11,0,1
0.01,54,0.107703686,0.108708799,0.00421103323,11,0,1
0.01,55,0.111149408,0.112388737,0.00443090592,11,0,1
0.01,56,0.114663929,0.116150104,0.00466009369,11,0,1
0.01,57,0.118248239,0.119994238,0.00489892904,11,0,1
0.01,58,0.121903382,0.123922467,0.00514775282,11,0,1
0.01,59,0.125630334,0.127936125,0.00540691474,11,0,1
0.01,60,0.1294301,0.132036597,0.0056767799,11,0,1
0.01,61,0.133303761,0.136225253,0.00595772173,11,0,1
0.01,62,0.137252375,0.140503526,0.00625012629,11,0,1
0.01,63,0.141276956,0.144872785,0.00655438518,11,0,1
0.01,64,0.145378664,0.149334535,0.00687091472,11,0,1
0.01,65,0.149558499,0.153890148,0.00720012747,11,0,1
0.01,66,0.153817549,0.158541083,0.00754245976,11,0,1
0.01,67,0.158156976,0.163288847,0.00789835677,11,0,1
0.01,68,0.162577868,0.168134972,0.00826827995,11,0,1
0.01,69,0.167081341,0.173080906,0.00865269825,11,0,1
0.01,70,0.171668559,0.178128213,0.00905210059,11,0,1
0.01,71,0.176340669,0.183278456,0.00946698617,11,0,1
0.01,72,0.181098759,0.188533142,0.00989786815,11,0,1
0.01,73,0.185944095,0.19389388,0.0103452783,11,0,1
0.01,74,0.190877795,0.199362248,0.0108097624,11,0,1
0.01,75,0.195901155,0.204939947,0.0112918857,11,0,1
0.01,76,0.201015279,0.21062848,0.0117922174,11,0,1
0.01,77,0.206221387,0.216429561,0.0123113543,11,0,1
0.01,78,0.211520657,0.222344771,0.0128498981,11,0,1
0.01,79,0.216914475,0.228375882,0.0134084886,11,0,1
0.01,80,0.222403944,0.234524518,0.0139877619,11,0,1
0.01,81,0.227990434,0.240792438,0.0145883868,11,0,1
0.01,82,0.233675152,0.247181371,0.0152110439,11,0,1
0.01,83,0.23945944,0.253693014,0.0158564299,11,0,1
0.01,84,0.245344535,0.260329187,0.0165252741,11,0,1
0.01,85,0.251331747,0.267091632,0.0172183029,11,0,1
0.01,86,0.257422358,0.273982108,0.0179362837,11,0,1
0.01,87,0.263617843,0.281002462,0.0186799951,11,0,1
0.01,88,0.269919276,0.288154513,0.0194502417,11,0,1
0.01,89,0.276328355,0.295440197,0.020247858,11,0,1
0.01,90,0.282846153,0.302861184,0.0210736673,11,0,1
0.01,91,0.2894741,0.310419381,0.0219285432,11,0,1
0.01,92,0.296213716,0.318116844,0.0228134021,11,0,1
0.01,93,0.303066194,0.325955331,0.0237291344,11,0,1
0.01,94,0.310033113,0.33393684,0.0246766973,11,0,1
0.01,95,0.317115873,0.342063278,0.0256570503,11,0,1
0.01,96,0.324315667,0.350336492,0.0266711693,11,0,1
0.01,97,0.331634283,0.358758718,0.0277201086,11,0,1
0.01,98,0.339072913,0.367331564,0.0288048703,11,0,1
0.01,99,0.346633077,0.376057386,0.0299265627,11,0,1
0.01,100,0.354316324,0.384938002,0.0310862586,11,0,1
0.01,101,0.362123936,0.393975377,0.0322850794,11,0,1
0.01,102,0.370057583,0.403171718,0.0335242078,11,0,1
0.01,103,0.378118724,0.412529051,0.0348048247,11,0,1
0.01,104,0.386308938,0.422049433,0.0361281447,11,0,1
0.01,105,0.394629598,0.43173483,0.0374954045,11,0,1
0.01,106,0.403082311,0.441587448,0.0389078856,11,0,1
0.01,107,0.41166845,0.451609373,0.0403669067,11,0,1
0.01,108,0.420389771,0.461802691,0.0418737978,11,0,1
0.01,109,0.429247707,0.472169578,0.0434299521,11,0,1
0.01,110,0.438243985,0.48271212,0.0450367741,11,0,1
0.01,111,0.447380006,0.493432522,0.046695713,11,0,1
0.01,112,0.45665741,0.504333019,0.0484082624,11,0,1
0.01,113,0.466077775,0.515415549,0.0501758941,11,0,1
0.01,114,0.475642741,0.526682615,0.0520002469,11,0,1
0.01,115,0.485353798,0.538136303,0.053882841,11,0,1
0.01,116,0.495212883,0.549778759,0.0558253638,11,0,1
0.01,117,0.505221188,0.56161207,0.0578294285,11,0,1
0.01,118,0.515380621,0.573638737,0.059896782,11,0,1
0.01,119,0.525692403,0.58586061,0.0620291308,11,0,1
0.01,120,0.536158919,0.59828043,0.0642283708,11,0,1
0.01,121,0.546781123,0.610900164,0.0664962456,11,0,1
0.01,122,0.5575611,0.623721898,0.0688346475,11,0,1
0.01,123,0.56850028,0.636748195,0.0712455362,11,0,1
0.01,124,0.579600155,0.649981081,0.0737308264,11,0,1
0.01,125,0.59086287,0.663423061,0.0762925968,11,0,1
0.01,126,0.602289915,0.677076221,0.0789328665,11,0,1
0.01,127,0.61388284,0.690942883,0.0816537291,11,0,1
0.01,128,0.625643432,0.705025375,0.08445739,11,0,1
0.01,129,0.6375736,0.7193259,0.0873460099,11,0,1
0.01,130,0.649674475,0.733846664,0.090321824,11,0,1
0.01,131,0.661948264,0.748590052,0.0933871865,11,0,1
0.01,132,0.674396157,0.763558149,0.096544385,11,0,1
0.01,133,0.687020123,0.77875334,0.0997958481,11,0,1
0.01,134,0.699821949,0.794178069,0.103144065,11,0,1
0.01,135,0.712803543,0.809834361,0.106591545,11,0,1
0.01,136,0.725966156,0.825724483,0.110140808,11,0,1
0.01,137,0.739311576,0.841850758,0.113794535,11,0,1
0.01,138,0.752841771,0.858215451,0.117555358,11,0,1
0.01,139,0.766557515,0.874820411,0.121425904,11,0,1
0.01,140,0.780461907,0.891668618,0.125409201,11,0,1
0.01,141,0.794556022,0.90876174,0.129507989,11,0,1
0.01,142,0.808841109,0.926101744,0.133725062,11,0,1
0.01,143,0.823319674,0.943691492,0.138063595,11,0,1
0.01,144,0.83799237,0.961532474,0.142526418,11,0,1
0.01,145,0.852861583,0.979627192,0.147116721,11,0,1
0.01,146,0.867928982,0.997977495,0.151837602,11,0,1
0.01,147,0.883195937,1.01658607,0.156692356,11,0,1
0.01,148,0.898664296,1.03545439,0.161684215,11,0,1
0.01,149,0.914335549,1.05458462,0.166816488,11,0,1
0.01,150,0.930211365,1.07397914,0.172092617,11,0,1
0.01,151,0.94629395,1.09363961,0.177516162,11,0,1
0.01,152,0.962583542,1.11356807,0.183090419,11,0,1
0.01,153,0.979083776,1.13376677,0.188819349,11,0,1
0.01,154,0.995793164,1.15423691,0.194706053,11,0,1
0.01,155,1.01271701,1.17498136,0.200755015,11,0,1
0.01,156,1.02985406,1.19600129,0.206969514,11,0,1
0.01,157,1.04720676,1.21729851,0.2133535,11,0,1
0.01,158,1.06477749,1.23887491,0.219911158,11,0,1
0.01,159,1.08256662,1.26073229,0.226646304,11,0,1
0.01,160,1.10057628,1.28287232,0.23356311,11,0,1
0.01,161,1.11880708,1.30529642,0.24066563,11,0,1
0.01,162,1.13726056,1.32800615,0.24795796,11,0,1
0.01,163,1.1559391,1.35100365,0.255444854,11,0,1
0.01,164,1.17484391,1.37428975,0.263130426,11,0,1
0.01,165,1.19397545,1.39786637,0.271019012,11,0,1
0.01,166,1.21333718,1.42173457,0.279115617,11,0,1
0.01,167,1.2329272,1.44589555,0.287424117,11,0,1
0.01,168,1.2527492,1.47035074,0.295949668,11,0,1
0.01,169,1.27280414,1.49510109,0.304696888,11,0,1
0.01,170,1.29309285,1.5201478,0.313670516,11,0,1
0.01,171,1.31361425,1.54549229,0.322875172,11,0,1
0.01,172,1.33437514,1.57113516,0.332316786,11,0,1
0.01,173,1.35537183,1.59707737,0.341999382,11,0,1
0.01,174,1.37660813,1.62331975,0.351928711,11,0,1
0.01,175,1.39808249,1.649863,0.362109452,11,0,1
0.01,176,1.4197973,1.67670774,0.37254706,11,0,1
0.01,177,1.44175482,1.70385504,0.383247137,11,0,1
0.01,178,1.46395409,1.73130405,0.394214511,11,0,1
0.01,179,1.48639822,1.75905609,0.405455381,11,0,1
0.01,180,1.50908387,1.78711164,0.416974396,11,0,1
0.01,181,1.53201652,1.81546986,0.428777754,11,0,1
0.01,182,1.55519342,1.84413171,0.440871,11,0,1
0.01,183,1.57861757,1.87309694,0.453259885,11,0,1
0.01,184,1.60228693,1.90236521,0.465949953,11,0,1
0.01,185,1.62620592,1.93193614,0.478947401,11,0,1
0.01,186,1.6503706,1.96180975,0.492257923,11,0,1
0.01,187,1.67478859,1.9919852,0.505888402,11,0,1
0.01,188,1.69945431,2.02246213,0.519843757,11,0,1
0.01,189,1.72436547,2.05323935,0.534130096,11,0,1
0.01,190,1.74953043,2.08431649,0.548754632,11,0,1
0.01,191,1.77494252,2.11569142,0.563722253,11,0,1
0.01,192,1.80060661,2.14736462,0.579040587,11,0,1
0.01,193,1.82652056,2.17933321,0.594715118,11,0,1
0.01,194,1.85268259,2.21159673,0.610752404,11,0,1
0.01,195,1.87909722,2.24415326,0.627159238,11,0,1
0.01,196,1.90575898,2.27700067,0.643941224,11,0,1
0.01,197,1.93267691,2.31013703,0.661106527,11,0,1
0.01,198,1.95983636,2.34356165,0.678659737,11,0,1
0.01,199,1.98724508,2.3772707,0.696608603,11,0,1
0.01,200,2.01490688,2.41126156,0.714959502,11,0,1
0.01,201,2.0428195,2.44553304,0.733720303,11,0,1
0.01,202,2.07097173,2.48008132,0.752895236,11,0,1
0.01,203,2.09938383,2.51490235,0.772492707,12,0,1
0.01,204,2.12804818,2.54999352,0.792519152,12,0,1
0.01,205,2.15695047,2.58535433,0.812982321,12,0,1
0.01,206,2.18610311,2.62097764,0.8338871,12,0,1
0.01,207,2.21549773,2.65686131,0.855241239,12,0,1
0.01,208,2.2451427,2.69300056,0.877050877,12,0,1
0.01,209,2.27502084,2.72939348,0.899324536,12,0,1
0.01,210,2.3051393,2.76603365,0.922067106,12,0,1
