dt,traj,s1,s2,s3,converged
0.5,0,4.76604328e-05,0,0,1
0.5,1,5.52786514e-05,6.84082852e-06,1.16110584e-07,1
0.5,2,6.28819689e-05,1.36834997e-05,2.32281081e-07,1
0.5,3,7.04810955e-05,2.05280085e-05,3.48525191e-07,1
0.5,4,7.80695118e-05,2.73741116e-05,4.64809091e-07,1
0.5,5,8.56886618e-05,3.42224303e-05,5.81184167e-07,1
0.5,6,9.32747498e-05,4.10724097e-05,6.97626774e-07,1
0.5,7,0.000100925565,4.79243608e-05,8.14088253e-07,1
0.5,8,0.000108505599,5.47780219e-05,9.30658871e-07,1
0.5,9,0.000116141047,6.16335165e-05,1.04722517e-06,1
0.5,10,0.000123761129,6.8491172e-05,1.16392812e-06,1
0.5,11,0.00013135979,7.53502391e-05,1.28069928e-06,1
0.5,12,0.00013901433,8.2211518e-05,1.39757026e-06,1
0.5,13,0.000146639068,8.9074616e-05,1.51438508e-06,1
0.5,14,0.000154235866,9.59393146e-05,1.63133154e-06,1
0.5,15,0.00016187923,0.000102805621,1.74839897e-06,1
0.5,16,0.000169501174,0.000109674387,1.86542002e-06,1
0.5,17,0.000177155249,0.000116545249,1.98254702e-06,1
0.5,18,0.000184767414,0.000123417092,2.09981226e-06,1
0.5,19,0.000192378648,0.000130290544,2.2169952e-06,1
0.5,20,0.000200033188,0.000137166411,2.33425408e-06,1
0.5,21,0.000207682606,0.000144045014,2.45175079e-06,1
0.5,22,0.000215312,0.000150923996,2.56916064e-06,1
0.5,23,0.000222965609,0.000157805625,2.6867142e-06,1
0.5,24,0.000230595935,0.000164688783,2.80429185e-06,1
0.5,25,0.000238229986,0.00017157328,2.92193545e-06,1
0.5,26,0.000245893374,0.000178461269,3.03968318e-06,1
0.5,27,0.000253525563,0.000185349578,3.15736634e-06,1
0.5,28,0.000261215027,0.000192241088,3.27540874e-06,1
0.5,29,0.000268850476,0.000199133734,3.3932256e-06,1
0.5,30,0.000276510138,0.000206028533,3.51120616e-06,1
0.5,31,0.000284127425,0.000212922765,3.62912124e-06,1
0.5,32,0.000291792676,0.000219821799,3.74739102e-06,1
0.5,33,0.000299462583,0.000226722317,3.86562988e-06,1
0.5,34,0.000307131559,0.000233623927,3.98372867e-06,1
0.5,35,0.000314786565,0.000240526715,4.10197572e-06,1
0.5,36,0.000322439242,0.000247431744,4.22029188e-06,1
0.5,37,0.000330128241,0.000254340557,4.33869536e-06,1
0.5,38,0.000337796751,0.000261250651,4.457258e-06,1
0.5,39,0.000345475972,0.000268161151,4.5758452e-06,1
0.5,40,0.000353146344,0.000275073835,4.6946061e-06,1
0.5,41,0.000360803679,0.000281987712,4.81305779e-06,1
0.5,42,0.000368454494,0.000288905459,4.93197058e-06,1
0.5,43,0.000376154669,0.000295823411,5.05063508e-06,1
0.5,44,0.000383810606,0.00030274305,5.16949058e-06,1
0.5,45,0.00039150985,0.000309666386,5.28854434e-06,1
0.5,46,0.00039919652,0.000316591118,5.40748715e-06,1
0.5,47,0.000406864565,0.000323515211,5.52670554e-06,1
0.5,48,0.000414556824,0.00033044134,5.64574657e-06,1
0.5,49,0.000422241632,0.000337371777,5.76496586e-06,1
0.5,50,0.000429926906,0.00034430332,5.88421426e-06,1
0.5,51,0.000437631737,0.000351238356,6.00361636e-06,1
0.5,52,0.000445285346,0.000358171004,6.12286931e-06,1
0.5,53,0.000452998094,0.000365109154,6.24238237e-06,1
0.5,54,0.000460726675,0.00037204969,6.36187178e-06,1
0.5,55,0.000468376093,0.00037898845,6.48173955e-06,1
0.5,56,0.00047610933,0.000385933061,6.60121077e-06,1
0.5,57,0.000483810902,0.00039287773,6.72093665e-06,1
0.5,58,0.000491499435,0.000399821583,6.84072438e-06,1
0.5,59,0.00049922429,0.000406772568,6.96068128e-06,1
0.5,60,0.000506903045,0.000413720234,7.08056359e-06,1
0.5,61,0.000514633488,0.000420672499,7.20066782e-06,1
0.5,62,0.000522334594,0.000427626248,7.32050285e-06,1
0.5,63,0.000530057587,0.000434583286,7.44075805e-06,1
0.5,64,0.000537776854,0.00044154239,7.56109694e-06,1
0.5,65,0.000545483083,0.000448500447,7.68100654e-06,1
0.5,66,0.000553186517,0.000455463101,7.80129631e-06,1
0.5,67,0.000560932327,0.000462426629,7.92193532e-06,1
0.5,68,0.000568639487,0.000469388411,8.04227966e-06,1
0.5,69,0.000576358289,0.000476356741,8.16289139e-06,1
0.5,70,0.000584076159,0.000483323645,8.28356133e-06,1
0.5,71,0.000591802411,0.000490295119,8.40377834e-06,1
0.5,72,0.000599547289,0.000497267465,8.52454104e-06,1
0.5,73,0.000607280526,0.000504244934,8.64555113e-06,1
0.5,74,0.000614998862,0.000511220307,8.76639751e-06,1
0.5,75,0.000622738618,0.00051819568,8.88735849e-06,1
0.5,76,0.000630473252,0.000525173498,9.00837586e-06,1
0.5,77,0.000638199039,0.000532158068,9.12937503e-06,1
0.5,78,0.000645930879,0.000539140427,9.25037602e-06,1
0.5,79,0.000653694849,0.000546127325,9.37167351e-06,1
0.5,80,0.000661413185,0.000553110614,9.49273817e-06,1
0.5,81,0.000669170637,0.000560104148,9.61423939e-06,1
0.5,82,0.000676940195,0.000567095703,9.73537317e-06,1
0.5,83,0.000684671104,0.000574089936,9.85655061e-06,1
0.5,84,0.000692395959,0.000581080909,9.97825737e-06,1
0.5,85,0.00070014596,0.000588075374,1.00999914e-05,1
0.5,86,0.000707938336,0.000595077174,1.0221931e-05,1
0.5,87,0.00071566971,0.000602078158,1.03432412e-05,1
0.5,88,0.000723449048,0.000609084149,1.04649171e-05,1
0.5,89,0.000731227919,0.000616087578,1.05873096e-05,1
0.5,90,0.000738954637,0.000623091124,1.07090327e-05,1
0.5,91,0.000746731181,0.000630097347,1.08309741e-05,1
0.5,92,0.000754475594,0.000637105783,1.09524317e-05,1
0.5,93,0.00076226471,0.000644122483,1.10747951e-05,1
0.5,94,0.000770009588,0.000651134236,1.11970767e-05,1
0.5,95,0.000777789392,0.000658149831,1.13194747e-05,1
0.5,96,0.000785553362,0.00066516659,1.14419272e-05,1
0.5,97,0.000793349929,0.000672188587,1.15640632e-05,1
0.5,98,0.00080110319,0.00067920622,1.16864048e-05,1
0.5,99,0.000808893703,0.000686227693,1.18082935e-05,1
0.5,100,0.000816670246,0.000693255162,1.19315082e-05,1
0.5,101,0.000824431423,0.000700277451,1.20539735e-05,1
0.5,102,0.000832208432,0.00070730783,1.21766316e-05,1
0.5,103,0.000840009656,0.000714340073,1.2299588e-05,1
0.5,104,0.000847807154,0.000721369986,1.24222388e-05,1
0.5,105,0.00085559953,0.000728409272,1.25449151e-05,1
0.5,106,0.000863390975,0.000735442969,1.2668519e-05,1
0.5,107,0.000871160068,0.000742476317,1.2791148e-05,1
0.5,108,0.000878978986,0.000749523751,1.2914541e-05,1
0.5,109,0.000886733178,0.000756559079,1.30378176e-05,1
0.5,110,0.000894530676,0.000763600576,1.31607048e-05,1
0.5,111,0.000902375206,0.000770653132,1.32841633e-05,1
0.5,112,0.000910138711,0.000777694862,1.34071488e-05,1
0.5,113,0.000917940401,0.0007847487,1.35306509e-05,1
0.5,114,0.00092573883,0.000791796308,1.36540984e-05,1
0.5,115,0.000933567528,0.000798853755,1.37781826e-05,1
0.5,116,0.000941370614,0.000805905089,1.3901139e-05,1
0.5,117,0.000949177891,0.000812961138,1.40248521e-05,1
0.5,118,0.000957001001,0.000820023823,1.41491983e-05,1
0.5,119,0.000964789651,0.000827085925,1.42729659e-05,1
0.5,120,0.000972568989,0.000834141858,1.43964644e-05,1
0.5,121,0.000980406068,0.000841207628,1.45202903e-05,1
0.5,122,0.000988219865,0.00084826845,1.46442762e-05,1
0.5,123,0.000996062998,0.000855341263,1.47682767e-05,1
0.5,124,0.0010038414,0.000862404006,1.48925355e-05,1
0.5,125,0.00101170037,0.0008694852,1.50173692e-05,1
0.5,126,0.0010195272,0.000876554695,1.5141537e-05,1
0.5,127,0.00102734892,0.000883630069,1.52656939e-05,1
0.5,128,0.00103518087,0.000890711672,1.53896799e-05,1
0.5,129,0.00104301935,0.000897786289,1.55145026e-05,1
