tol,traj,s1,s2,s3,naccept,nreject,converged
0.01,0,7.60569092e-05,0,0,7,0,1
0.01,1,7.89632686e-05,6.5393665e-06,5.87715512e-08,7,0,1
0.01,2,8.49327334e-05,1.30805629e-05,1.17187767e-07,7,0,1
0.01,3,9.08035945e-05,1.96236051e-05,1.75084679e-07,7,0,1
0.01,4,9.50852482e-05,2.61587047e-05,2.62676139e-07,7,0,1
0.01,5,0.00010329159,3.27023372e-05,3.29647747e-07,7,0,1
0.01,6,0.000110174624,3.92485454e-05,3.95503122e-07,7,0,1
0.01,7,0.000117854397,4.57959723e-05,4.62445144e-07,7,0,1
0.01,8,0.000125224571,5.2366031e-05,4.65329634e-07,7,0,1
0.01,9,0.000133433554,5.89198717e-05,5.2441186e-07,7,0,1
0.01,10,0.00014045366,6.54755495e-05,5.83858707e-07,7,0,1
0.01,11,0.000149126834,7.20329554e-05,6.43980968e-07,7,0,1
0.01,12,0.000157938339,7.85921147e-05,7.0575976e-07,7,0,1
0.01,13,0.000166299913,8.51531222e-05,7.67453002e-07,7,0,1
0.01,14,0.000176951624,9.17154393e-05,8.39136533e-07,7,0,1
0.01,15,0.000199186165,9.82784259e-05,9.46816385e-07,7,0,1
0.01,16,0.000189565704,0.000104847015,9.51999539e-07,7,0,1
0.01,17,0.000194014399,0.000111415844,1.00284933e-06,7,0,1
0.01,18,0.000200794515,0.000117986194,1.05951608e-06,7,0,1
0.01,19,0.000204338314,0.000124511571,1.25557608e-06,7,0,1
0.01,20,0.00021307313,0.000131132474,1.17200227e-06,7,0,1
0.01,21,0.000219167894,0.000137655588,1.39139195e-06,7,0,1
0.01,22,0.0002267198,0.000144230013,1.46063496e-06,7,0,1
0.01,23,0.000234648687,0.000150865133,1.34675872e-06,7,0,1
0.01,24,0.000243058734,0.000157446149,1.40591226e-06,7,0,1
0.01,25,0.000250260578,0.000164028956,1.46897344e-06,7,0,1
0.01,26,0.000258024316,0.00017061361,1.53020233e-06,7,0,1
0.01,27,0.000266499002,0.000177199836,1.59492265e-06,7,0,1
