dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,converged
0.5,0,0.636937141,3.40299034,1.70792222,1.52344346,2.80437946,2.80134344,1.60407519,3.02816319,2.4063797,2.60954785,2.24465632,3.10068917,2.83283448,1.85526013,3.00399923,3.08815098,2.56618643,2.02475905,3.45859957,3.13452268,1.84779668,2.92101336,3.50209284,2.77450705,2.06369948,3.64468932,3.51885986,2.09281516,2.98145533,3.54026318,1.63659215,-0.237031937,1
0.5,1,0.63713789,3.40316439,1.70792127,1.52355981,2.804564,2.80144048,1.60410666,3.02827787,2.40656042,2.60958123,2.24471593,3.10082722,2.83295417,1.85529709,3.00408888,3.08829975,2.56623864,2.02482796,3.45872164,3.13463283,1.84784269,2.92111397,3.50223255,2.77455282,2.06376958,3.64480805,3.51895046,2.09283972,2.98153448,3.54035997,1.63663387,-0.236917019,1
0.5,2,0.637334824,3.40333796,1.7079227,1.52366734,2.80474806,2.80153942,1.60413909,3.02839088,2.40674257,2.60961556,2.24477363,3.10096598,2.83307362,1.85533452,3.00417733,3.0884521,2.56629348,2.02489376,3.45884562,3.1347456,1.84788537,2.92120934,3.50237179,2.77460361,2.06384039,3.64492798,3.51904154,2.0928669,2.98161459,3.54045677,1.63667631,-0.23680687,1
0.5,3,0.637542963,3.40351391,1.7079215,1.52377892,2.80493689,2.80163765,1.60416746,3.02850413,2.40692687,2.60964966,2.24482942,3.10110664,2.83319497,1.85536981,3.00426626,3.0886035,2.56634521,2.02495742,3.45896697,3.13485813,1.84793186,2.92130661,3.5025115,2.77465105,2.06390762,3.64504433,3.51912975,2.09289575,2.98169613,3.54055691,1.63671827,-0.236693382,1
0.5,4,0.637746334,3.40368485,1.70792413,1.52389073,2.8051219,2.80173635,1.60419917,3.02861857,2.40710688,2.60968375,2.24488926,3.10124493,2.8333149,1.85541081,3.00435686,3.08875895,2.56639791,2.02502346,3.45908999,3.13497305,1.84797645,2.92140293,3.50265169,2.7747004,2.06397867,3.64516211,3.51922178,2.0929234,2.98177481,3.54065251,1.63676333,-0.236575127,1
0.5,5,0.637946844,3.40385842,1.70792174,1.52400231,2.8053112,2.80183268,1.60422492,3.02873015,2.40728664,2.60971808,2.2449441,3.10138059,2.8334353,1.85544729,3.00444722,3.08890772,2.56644893,2.02508855,3.45921159,3.13508368,1.84802032,2.92150068,3.50279093,2.77474785,2.06404662,3.64528179,3.51931095,2.09294915,2.98185635,3.54075098,1.63680243,-0.2364645,1
0.5,6,0.638146877,3.40402961,1.70792532,1.52411103,2.80549502,2.80192947,1.60425782,3.02884483,2.40746713,2.60975146,2.24500251,3.10152149,2.83355284,1.85548472,3.00453663,3.08905935,2.56650305,2.02515459,3.45933652,3.13519454,1.84806561,2.9215982,3.50293136,2.77479577,2.06411576,3.64540052,3.51940203,2.09297562,2.98193502,3.54085016,1.63684654,-0.236353397,1
0.5,7,0.638352871,3.40420341,1.70792627,1.52422214,2.80568266,2.80202818,1.60428715,3.02895927,2.40765071,2.60978603,2.24505925,3.10166073,2.83367395,1.85552287,3.00462437,3.08921146,2.56655765,2.02521992,3.4594574,3.1353085,1.84811282,2.92169333,3.50307274,2.77484655,2.06418395,3.6455164,3.51949215,2.09300613,2.98201442,3.54094744,1.63689375,-0.236235619,1
0.5,8,0.638551235,3.40437961,1.70792675,1.52432895,2.8058672,2.8021276,1.60431933,3.02907109,2.4078331,2.60982132,2.24511695,3.10180044,2.83379221,1.85556102,3.00471449,3.08936644,2.56660867,2.02528501,3.45958161,3.13542175,1.84815812,2.92179203,3.50321579,2.77489328,2.06425071,3.64563441,3.51958466,2.09303308,2.9820931,3.54104614,1.63693619,-0.236126423,1
0.5,9,0.638753891,3.40455317,1.70793009,1.52444005,2.80605793,2.80222607,1.60434723,3.02918458,2.40801501,2.60985494,2.24517274,3.10193777,2.83391452,1.85559797,3.00480247,3.08951664,2.5666635,2.02535152,3.45970392,3.13553381,1.84820318,2.92188835,3.5033536,2.77494264,2.06432152,3.64575195,3.51967525,2.09306169,2.98217344,3.54114342,1.6369772,-0.236013412,1
