dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,converged
0.5,0,2.41717482,3.26403213,3.67824507,2.57518935,2.2339232,3.1707387,3.36349463,2.42721391,2.62115717,3.34354901,2.89042163,2.48879194,3.0498414,3.11854649,2.63634276,2.83133221,3.11288691,2.83064985,2.76955557,3.02727652,2.95998144,2.82065058,2.96992159,3.02722955,2.91936302,2.96880031,3.05128717,2.97839046,2.91870308,2.87571931,2.64006138,2.18506789,1
0.5,1,2.42890286,3.27602673,3.687572,2.58305001,2.24495816,3.18266988,3.37232637,2.43574333,2.63255215,3.35458755,2.89881277,2.49850583,3.06134844,3.12829542,2.64521217,2.84210634,3.12362957,2.8398087,2.77952003,3.03817725,2.96982718,2.83027601,2.98050332,3.0375092,2.92898273,2.97887945,3.06144619,2.98785067,2.92806816,2.88522768,2.64928222,2.19468999,1
0.5,2,2.44063163,3.28801203,3.69689131,2.5909214,2.25600028,3.19459319,3.38115025,2.44428325,2.64395285,3.36561728,2.90720057,2.50822878,3.07285643,3.13803649,2.65408397,2.85288668,3.13436723,2.84896278,2.78948927,3.0490799,2.97966719,2.83990026,2.99108791,3.04778695,2.93860054,2.98895907,3.07160378,2.9973073,2.93743491,2.8947401,2.65850472,2.20431542,1
0.5,3,2.45236206,3.29998827,3.70620155,2.59880352,2.26705027,3.20650792,3.38996553,2.45283246,2.65535784,3.37663674,2.91558599,2.51796103,3.08436537,3.14776993,2.66295934,2.86367345,3.14510036,2.85811377,2.79946375,3.05998349,2.98950195,2.84952593,3.00167656,3.05806112,2.94821548,2.99904084,3.08176041,3.0067606,2.94680357,2.90425587,2.66772962,2.2139461,1
0.5,4,2.46409464,3.31195712,3.71550369,2.60669565,2.27810788,3.21841526,3.39877272,2.46139121,2.6667695,3.38764763,2.92396832,2.52770305,3.09587431,3.15749359,2.67183709,2.87446713,3.15583014,2.86726046,2.80944395,3.07088804,2.999331,2.85915232,3.01226854,3.06833291,2.95782638,3.00912428,3.09191704,3.01621103,2.9561727,2.91377497,2.67695737,2.2235806,1
0.5,5,2.47582674,3.32391691,3.72479916,2.61459708,2.2891705,3.23031425,3.40757513,2.4699614,2.6781857,3.39864779,2.93234777,2.53745437,3.10738397,3.16720963,2.68071771,2.88526678,3.1665554,2.87640285,2.81942916,3.08179522,3.00915575,2.86877918,3.02286339,3.0786016,2.96743512,3.01920986,3.10207272,3.02565813,2.96554279,2.92329788,2.68618727,2.23321843,1
0.5,6,2.48756027,3.33586717,3.73408556,2.62251043,2.30024052,3.24220514,3.41636896,2.47854066,2.68960667,3.40963984,2.94072628,2.54721498,3.11889386,3.17691708,2.68960142,2.8960731,3.17727661,2.8855412,2.82941866,3.0927031,3.01897526,2.87840629,3.03346157,3.08886743,2.97703981,3.02929568,3.11222839,3.03510332,2.97491384,2.93282342,2.69542074,2.24286222,1
0.5,7,2.49929523,3.34780955,3.74336481,2.63043332,2.31131744,3.25408792,3.42515612,2.48712969,2.70103264,3.42062187,2.94910121,2.55698562,3.13040447,3.18661427,2.69848633,2.90688634,3.18799329,2.89467549,2.83941412,3.10361338,3.02878952,2.88803434,3.04406357,3.09913015,2.98664117,3.0393846,3.12238312,3.04454446,2.98428583,2.94235277,2.70465636,2.25250959,1
0.5,8,2.51103163,3.35974383,3.75263596,2.63836527,2.32240009,3.2659626,3.43393564,2.49572921,2.71246338,3.43159485,2.95747375,2.56676507,3.14191437,3.19630527,2.70737648,2.91770601,3.19870567,2.90380669,2.8494153,3.11452436,3.03859806,2.89766264,3.05466843,3.10938883,2.9962399,3.04947472,3.13253736,3.05398321,2.99366021,2.95188689,2.71389461,2.26216102,1
0.5,9,2.5227685,3.37166882,3.76189947,2.6463089,2.33349013,3.27782917,3.44270897,2.50433898,2.72389936,3.44255853,2.96584558,2.5765543,3.15342426,3.20598602,2.71626949,2.92853165,3.20941305,2.91293406,2.85942221,3.12543607,3.04840112,2.9072926,3.0652771,3.11964488,3.00583673,3.05956745,3.14269042,3.06341791,3.00303602,2.9614234,2.72313428,2.27181602,1
