tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,naccept,nreject,converged
0.01,0,2.09807754,-3.56117725,-2.00009322,-0.8201105,-1.28129292,0.636540711,5.24200773,-2.68039083,2.13021803,3.39430737,5.57983255,-2.11620235,-0.697995901,1.13224649,6.57694054,1.36643708,-0.0057053077,2.99243498,5.04537439,2.52475452,1.86832845,3.19868159,3.92160773,3.41423368,2.89834189,2.48531771,1.68692219,1.03427422,0.942398667,1.25265265,2.18905878,3.86124206,18,0,1
0.01,1,2.05869222,-3.5831089,-1.97752786,-0.828122318,-1.27828336,0.657770753,5.23325825,-2.69822192,2.13904214,3.45244908,5.56146336,-2.16864347,-0.668507934,1.1450249,6.59786224,1.35258329,-0.00622411119,3.00559497,5.07132483,2.52274656,1.86866808,3.21400046,3.94125485,3.42180705,2.89897418,2.4857595,1.68749654,1.03762698,0.949788928,1.26507437,2.21111536,3.88136411,18,0,1
0.01,2,2.01879239,-3.60448313,-1.95512664,-0.836030364,-1.27527761,0.679155827,5.22409487,-2.71644258,2.14732027,3.51047921,5.542171,-2.22104764,-0.638840735,1.15837407,6.61867046,1.33842957,-0.00660128985,3.01879454,5.09728909,2.52056098,1.8689754,3.22939944,3.96098542,3.429245,2.89946389,2.48621058,1.6881367,1.04100859,0.957196355,1.27755523,2.23327661,3.90122628,18,0,1
0.01,3,1.97843552,-3.62533164,-1.93291926,-0.843828619,-1.2722851,0.700624764,5.21458244,-2.7349844,2.15506053,3.56832314,5.52199793,-2.27333927,-0.609063506,1.17226815,6.6393857,1.32397485,-0.00684143044,3.03203392,5.12325239,2.51821828,1.86928523,3.24488211,3.9807632,3.43654132,2.89983678,2.48667407,1.68883228,1.04441321,0.964604318,1.29006279,2.25549436,3.92079759,18,0,1
0.01,4,1.93754256,-3.64558864,-1.91089702,-0.851519883,-1.26930356,0.722245157,5.20463276,-2.75392556,2.16224551,3.62603211,5.50089741,-2.32560897,-0.579132736,1.18670249,6.65998936,1.30922747,-0.0069668456,3.04529834,5.14924574,2.51572394,1.86956072,3.26041389,4.00059319,3.44374156,2.90010786,2.48710966,1.68954396,1.04785383,0.972060978,1.30266213,2.27785134,3.94010544,18,0,1
0.01,5,1.89615202,-3.66525817,-1.88908911,-0.859098256,-1.26633644,0.743972301,5.19429636,-2.77322602,2.168859,3.68354893,5.47891665,-2.37776661,-0.549088657,1.20174241,6.68048525,1.29416966,-0.0069161118,3.05863214,5.17521,2.51304793,1.86985612,3.2760303,4.02044916,3.45082712,2.90032768,2.48752975,1.6902014,1.05130422,0.97959739,1.31538177,2.30034304,3.95911884,18,0,1
0.01,6,1.85425329,-3.68437433,-1.86744797,-0.866577029,-1.26337564,0.765847862,5.18353081,-2.7929275,2.17491198,3.74086714,5.456038,-2.42982578,-0.518974543,1.21729875,6.70086622,1.27878034,-0.00677325018,3.07196832,5.20124054,2.51019406,1.87004805,3.29168844,4.04044294,3.4578197,2.90034223,2.48790574,1.69097924,1.05483556,0.987139761,1.32813668,2.32292771,3.97785783,18,0,1
0.01,7,1.81190884,-3.70291257,-1.8460536,-0.873931706,-1.26043189,0.787817478,5.17239141,-2.81297588,2.18037319,3.79795551,5.432302,-2.48173332,-0.488766849,1.2335161,6.72112465,1.26304317,-0.00640854985,3.08541369,5.22722769,2.50711942,1.87028003,3.307477,4.06048012,3.46463108,2.90025258,2.48832464,1.6917938,1.05836689,0.994697452,1.3409543,2.34560657,3.99629211,18,0,1
0.01,8,1.76911485,-3.72086477,-1.82489562,-0.881166518,-1.25749612,0.809912384,5.16083193,-2.83341026,2.18525434,3.85481262,5.40769863,-2.5335114,-0.458526939,1.25027096,6.74127007,1.24704254,-0.00592579041,3.09887338,5.25319338,2.50393414,1.87053609,3.32333064,4.0805397,3.471313,2.90005922,2.48872638,1.69264591,1.06195855,1.00231481,1.35385633,2.36838794,4.01441097,18,0,1
0.01,9,1.72581911,-3.73821163,-1.80393779,-0.888307571,-1.25459349,0.832122624,5.14885759,-2.85423398,2.18954206,3.91138721,5.38226223,-2.58513904,-0.42830503,1.26757085,6.76129675,1.23074162,-0.00529539445,3.11238718,5.27915955,2.50057054,1.87077749,3.33926058,4.10065603,3.47785997,2.89975977,2.4891386,1.69353139,1.06556964,1.00996327,1.36684668,2.39131069,4.03224421,18,0,1
0.01,10,1.6820786,-3.75499916,-1.78323185,-0.895325124,-1.25170362,0.85444355,5.1364584,-2.8754344,2.19323325,3.96773052,5.35592604,-2.63665676,-0.398033321,1.28544128,6.7811985,1.21407437,-0.00455954671,3.1259141,5.30517817,2.4970274,1.87093592,3.35522485,4.12087154,3.48433328,2.89933443,2.48950028,1.69441617,1.06919777,1.01764369,1.37990642,2.4143219,4.04974461,18,0,1
0.01,11,1.63793826,-3.77120543,-1.76277125,-0.902218938,-1.24881697,0.876948655,5.12359428,-2.8970964,2.19627857,4.02382803,5.32875729,-2.68798876,-0.367728949,1.30403531,6.80095148,1.19701421,-0.00356970076,3.13955045,5.33113956,2.49331713,1.87113774,3.37126303,4.14108706,3.4906702,2.89883375,2.48986983,1.69535589,1.07289541,1.02536726,1.39302325,2.43741083,4.06691933,18,0,1
0.01,12,1.59333873,-3.78680229,-1.74259603,-0.908986807,-1.24595428,0.899465978,5.11039305,-2.91903019,2.19875908,4.07955217,5.30079794,-2.73909235,-0.337542623,1.3230468,6.82059574,1.17973006,-0.00251075439,3.15318823,5.3570962,2.48943019,1.87133884,3.38742328,4.16139936,3.49682856,2.898175,2.49025202,1.69633162,1.07659662,1.03313029,1.40624475,2.4606297,4.08375025,18,0,1
0.01,13,1.54829657,-3.80183983,-1.72264755,-0.915644348,-1.24310195,0.922134697,5.096735,-2.94139624,2.20059514,4.13498259,5.27201176,-2.79000115,-0.307361454,1.34272766,6.84008741,1.16200602,-0.00123873819,3.1669209,5.38306475,2.48531508,1.87149549,3.40364957,4.18178701,3.50286365,2.89739251,2.49063182,1.69736552,1.08033633,1.04090405,1.41951263,2.48393798,4.10026503,18,0,1
0.01,14,1.50284779,-3.81628585,-1.7029804,-0.922172427,-1.24025893,0.944945931,5.08261347,-2.96418834,2.20180035,4.19013166,5.24239111,-2.84072423,-0.277245134,1.36299038,6.85943985,1.14396477,0.000184657983,3.18069434,5.40899706,2.4810617,1.87168741,3.41996145,4.20219135,3.50873518,2.89652109,2.49103928,1.69843352,1.08409727,1.04871237,1.43285668,2.50733948,4.11642313,18,0,1
0.01,15,1.45696831,-3.83010936,-1.68358552,-0.9285748,-1.23742115,0.967891157,5.06804609,-2.98739314,2.20236301,4.24490976,5.21200991,-2.89119172,-0.24723056,1.38383722,6.8786478,1.12557185,0.00176488934,3.19450665,5.43492937,2.47667694,1.87185192,3.43628454,4.22263193,3.51456666,2.89557672,2.49135327,1.69947064,1.0879389,1.05662775,1.44632888,2.53087616,4.13223505,18,0,1
0.01,16,1.41072977,-3.84336853,-1.66447997,-0.934849322,-1.23460007,0.9909482,5.05303478,-3.01099849,2.20226192,4.299366,5.18081045,-2.94145226,-0.217267215,1.40536022,6.89768744,1.10673666,0.00357052824,3.20843482,5.46083927,2.47199988,1.87200308,3.4527595,4.24318886,3.52016044,2.89443874,2.49175167,1.70065165,1.09179366,1.06451213,1.45982242,2.55446601,4.14767981,18,0,1
0.01,17,1.36404526,-3.85600781,-1.64566052,-0.941001594,-1.23179162,1.01411402,5.03758621,-3.0349915,2.20152545,4.3534193,5.14887857,-2.99143767,-0.187485248,1.42738092,6.9165802,1.08762431,0.0055194404,3.22241473,5.48672199,2.46715117,1.87217236,3.46932101,4.2637825,3.52562118,2.89322805,2.49213624,1.70179296,1.09565318,1.07246923,1.47344899,2.57820821,4.16276789,18,0,1
0.01,18,1.31698418,-3.86806631,-1.62713015,-0.94702971,-1.22899449,1.03741336,5.02166939,-3.05941224,2.20011163,4.40711403,5.11617088,-3.04119277,-0.157812491,1.45002759,6.93532228,1.06810713,0.00761184935,3.23641157,5.51260138,2.46221972,1.87234116,3.48589468,4.28436613,3.5309813,2.89195466,2.49251103,1.70296383,1.0995537,1.08045197,1.48713219,2.60202885,4.17748737,18,0,1
0.01,19,1.26955974,-3.87951064,-1.60890818,-0.952926219,-1.22620988,1.06083024,5.00529242,-3.08423948,2.19802928,4.46040249,5.08274221,-3.09065509,-0.128323495,1.4732548,6.95388651,1.04820764,0.00990660395,3.25049782,5.53845644,2.45705056,1.87249303,3.50257516,4.30505514,3.5361762,2.8905139,2.49288774,1.70421517,1.10351813,1.08848751,1.50090683,2.62595224,4.19182253,18,0,1
0.01,20,1.22174478,-3.89038849,-1.59097743,-0.958706021,-1.22344291,1.08434749,4.98847246,-3.10945559,2.19527078,4.51327896,5.0486002,-3.13983464,-0.0990146548,1.49707901,6.97228765,1.02795899,0.0123984627,3.26468134,5.56424141,2.45166016,1.87270069,3.5193975,4.32578135,3.5411582,2.88897586,2.49332285,1.70548844,1.10745347,1.09652579,1.51474655,2.64996529,4.2057786,18,0,1
0.01,21,1.17364919,-3.90067649,-1.57338095,-0.964347482,-1.22067571,1.10799301,4.97119713,-3.13508201,2.19182968,4.56569624,5.01379442,-3.18868804,-0.0699312016,1.52146649,6.99050903,1.00733685,0.0150647257,3.2789216,5.59002209,2.44609809,1.8728689,3.53626251,4.34658957,3.54602146,2.88727427,2.49373722,1.70688188,1.11149025,1.10459971,1.5286355,2.67403007,4.21933794,18,0,1
