tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,naccept,nreject,converged
0.01,0,1.75025272,-3.3512938,-1.68350089,-0.829043806,-1.13922048,1.68695676,4.04423046,-3.83679986,1.64033866,4.26382828,4.74666739,-3.0334506,0.188184723,2.08208752,6.39500427,0.546745718,0.235208914,3.19032431,5.16527987,2.17992377,1.71353054,3.30446053,4.11058998,3.32006741,2.7109704,2.48572588,1.82451594,1.15994835,1.06688583,1.43349969,2.47016478,4.02368212,19,1,1
0.01,1,1.70763505,-3.36675906,-1.66383338,-0.83473897,-1.13478625,1.71765769,4.01227474,-3.87064838,1.62480879,4.30541658,4.71844101,-3.07647538,0.212555513,2.11389494,6.40869999,0.519935727,0.242169842,3.20789862,5.18867588,2.17221189,1.71452034,3.32197046,4.1316967,3.32461619,2.7098794,2.48799515,1.82710695,1.16386354,1.07489645,1.44746935,2.49436212,4.04081392,19,1,1
0.01,2,1.66459727,-3.38165498,-1.64440131,-0.840322554,-1.13034165,1.7485646,3.97954082,-3.90483069,1.60828829,4.34626436,4.68987226,-3.11923671,0.236645937,2.14622045,6.42207623,0.492680669,0.249326795,3.225595,5.21203756,2.16427755,1.7154851,3.3395381,4.15287495,3.32903695,2.70866203,2.49025512,1.82976282,1.16783834,1.08294523,1.46150923,2.51865172,4.05759525,19,1,1
0.01,3,1.62116528,-3.39600062,-1.62523103,-0.845791459,-1.12590671,1.77953458,3.94619823,-3.9391942,1.59087682,4.38632298,4.66105604,-3.16166472,0.260364264,2.17893147,6.4351573,0.465072423,0.256661862,3.24341488,5.23533916,2.15611005,1.71645558,3.3572073,4.17413664,3.33327985,2.70729709,2.49253201,1.83248913,1.17184865,1.09101117,1.47560143,2.54300857,4.07400417,19,1,1
0.01,4,1.577703,-3.40929818,-1.60632241,-0.850961149,-1.12138069,1.81080711,3.9121139,-3.97397614,1.57244349,4.42519379,4.63232374,-3.20354557,0.283648759,2.2125423,6.44777012,0.436837345,0.264373869,3.26161742,5.25842667,2.14752698,1.71753538,3.37510705,4.19544792,3.33720636,2.70579743,2.4948926,1.83532095,1.17591751,1.09915161,1.48984885,2.56755519,4.09007835,19,1,1
0.01,5,1.53429794,-3.42160749,-1.58771062,-0.855823159,-1.1167773,1.84228885,3.87738037,-4.00906944,1.55305409,4.46287441,4.60366488,-3.24491954,0.306487292,2.24693727,6.45993423,0.407969981,0.272362798,3.28010678,5.28137875,2.13861871,1.71866786,3.39317131,4.21680069,3.34085178,2.70415664,2.49732351,1.83828366,1.18005645,1.10733175,1.5041877,2.59220743,4.10578775,19,1,1
0.01,6,1.49056709,-3.43335605,-1.56939423,-0.860556424,-1.11215937,1.8739202,3.84192657,-4.04438448,1.53271937,4.49974012,4.57482195,-3.28597307,0.328947574,2.28172565,6.47176266,0.378701895,0.280543268,3.29873157,5.30426693,2.12945533,1.71978164,3.41132784,4.23826599,3.34432983,2.70233727,2.49975252,1.84135234,1.18428338,1.11556673,1.51860118,2.61692572,4.12110043,19,1,1
0.01,7,1.44638705,-3.44453883,-1.55132866,-0.865178108,-1.10752809,1.9057281,3.80571294,-4.07993746,1.51139545,4.5357933,4.54580832,-3.32669401,0.351041287,2.31701207,6.48322344,0.349025369,0.289017975,3.31758952,5.32698965,2.12004972,1.72102869,3.42963624,4.25968504,3.34758091,2.7005074,2.5022583,1.84439349,1.18847799,1.12384343,1.53312969,2.64178252,4.13604355,19,1,1
0.01,8,1.40177822,-3.45515561,-1.5335232,-0.869686067,-1.10288692,1.93768549,3.76875401,-4.11569405,1.48910046,4.57100487,4.51664305,-3.36709332,0.372748315,2.35271549,6.49431419,0.318923086,0.297720343,3.33662343,5.34962749,2.1103518,1.72226453,3.44804335,4.28120422,3.35065293,2.69852209,2.50479078,1.84751368,1.19268429,1.13212287,1.54773414,2.6667583,4.15061569,19,1,1
0.01,9,1.35684371,-3.46521354,-1.51601529,-0.874066353,-1.09822953,1.9698081,3.73103356,-4.15164995,1.46581566,4.60535526,4.48734093,-3.40718055,0.394067347,2.38882065,6.50504971,0.288421124,0.306618422,3.35579729,5.37217808,2.10046482,1.72353852,3.46652484,4.30274057,3.35357356,2.69645476,2.50731874,1.85066926,1.19697142,1.14048481,1.56243169,2.69180489,4.16477203,19,1,1
