tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,naccept,nreject,converged
0.01,0,2.25844097,-3.57659483,-2.13996768,-0.778575182,-1.30427074,0.449708432,5.42808533,-2.48327804,2.12450671,3.15129519,5.75821877,-1.82161295,-0.848383486,1.15597332,6.56811428,1.42974722,0.0893739164,3.04571986,4.95022583,2.52330065,1.95026338,3.22330999,3.86926079,3.39042592,2.94328976,2.5287025,1.68515909,1.00611293,0.903982878,1.19385993,2.08889365,3.78499532,12,0,1
0.01,1,2.25818205,-3.57675576,-2.13979244,-0.778594136,-1.30422354,0.449959069,5.42782497,-2.48355985,2.12461114,3.15189004,5.75802946,-1.82214653,-0.848135173,1.15602195,6.5682869,1.42966747,0.089345634,3.04581857,4.95043707,2.52328825,1.95025468,3.22342062,3.86941981,3.39049935,2.94329381,2.52869797,1.68516731,1.0061413,0.904031157,1.19394314,2.08904958,3.7851615,12,0,1
0.01,2,2.25789571,-3.57695508,-2.13961458,-0.778677762,-1.30421257,0.450063318,5.42787838,-2.48359275,2.12467742,3.15225959,5.75797987,-1.82249665,-0.847908676,1.15614164,6.56844807,1.4295311,0.08936093,3.04593635,4.95063782,2.52326727,1.95025849,3.22354364,3.86957383,3.39055657,2.94329691,2.52870178,1.68517697,1.00617683,0.904096365,1.19404042,2.08921552,3.78532362,12,0,1
0.01,3,2.2575357,-3.57724094,-2.13937283,-0.778853357,-1.30417049,0.450051725,5.42828846,-2.48335409,2.12482929,3.15257883,5.75795126,-1.82265222,-0.847766876,1.15623772,6.56860447,1.42946136,0.0893877596,3.04605532,4.9508028,2.52324772,1.95028865,3.22367191,3.86971402,3.39061117,2.94330978,2.52871013,1.68517649,1.0061878,0.904140055,1.1941247,2.08938074,3.78548765,12,0,1
0.01,4,2.25714827,-3.5775423,-2.13901138,-0.77900666,-1.30391228,0.449931949,5.42896271,-2.48294067,2.12508559,3.15292025,5.75779676,-1.82251823,-0.847679377,1.15629017,6.5687747,1.42939484,0.089419879,3.04617763,4.9509778,2.52323413,1.95031571,3.22379279,3.86984444,3.39067292,2.94333768,2.52871275,1.68516755,1.006212,0.904202461,1.19421816,2.08954763,3.78563976,13,0,1
0.01,5,2.25696158,-3.57759285,-2.13902068,-0.778954685,-1.30414701,0.450432479,5.42801714,-2.48373342,2.12501311,3.15358496,5.75770664,-1.82362747,-0.847297132,1.1563586,6.56894541,1.42928779,0.0893445686,3.04625082,4.9512105,2.523247,1.95030272,3.22390032,3.87000084,3.39074183,2.94334531,2.52871251,1.68516314,1.00623536,0.904259205,1.19431925,2.08972049,3.78582525,12,0,1
0.01,6,2.25669265,-3.57776141,-2.13885117,-0.778991759,-1.30412447,0.450639576,5.42783737,-2.48394775,2.12507772,3.15409565,5.75757694,-1.82411969,-0.847028673,1.15646851,6.56910849,1.42916167,0.0893505588,3.04636788,4.95141411,2.5232234,1.95030439,3.22402549,3.87015843,3.39079857,2.94334412,2.52871513,1.68517745,1.00627172,0.904319525,1.19441235,2.08988309,3.78598881,12,0,1
0.01,7,2.25631928,-3.57807612,-2.13856006,-0.779192209,-1.3039813,0.450598329,5.4283762,-2.48359275,2.12526321,3.15442538,5.75747824,-1.82411027,-0.846893489,1.15657151,6.56926394,1.42906439,0.0893706903,3.04647803,4.95159912,2.52320552,1.95031631,3.22414327,3.87029862,3.39085841,2.94336677,2.52872944,1.68517268,1.00627744,0.90436697,1.19450116,2.09005284,3.78615308,12,0,1
0.01,8,2.25604606,-3.57822251,-2.13842487,-0.779211283,-1.30404925,0.450826645,5.42808771,-2.48391104,2.1253159,3.15492153,5.75740576,-1.82473731,-0.846641958,1.15663803,6.56943512,1.42897689,0.0893565267,3.04658341,4.95179701,2.52320147,1.9503268,3.22426152,3.87044883,3.39092278,2.94337177,2.52872491,1.68517244,1.00630462,0.904421985,1.19459713,2.09022522,3.78633022,12,0,1
0.01,9,2.25583148,-3.57833672,-2.13830805,-0.779178858,-1.30404878,0.451143354,5.42761183,-2.48436427,2.12537241,3.15555286,5.7572217,-1.82541919,-0.846342921,1.15670681,6.56961012,1.42886293,0.0893390253,3.04669809,4.95201254,2.52317595,1.95032811,3.22439313,3.87060285,3.39096594,2.94337749,2.5287466,1.68518412,1.00632489,0.904471815,1.19468546,2.09037924,3.78649139,12,0,1
0.01,10,2.25557184,-3.57842851,-2.13812065,-0.779136539,-1.30390882,0.451541036,5.42711592,-2.48484898,2.12554097,3.1563344,5.75688553,-1.82602048,-0.846132934,1.15666258,6.56979799,1.42886305,0.0892538354,3.04675317,4.95222235,2.52322316,1.95033944,3.2244873,3.87073278,3.39104939,2.94340944,2.52873302,1.68516076,1.00635779,0.904551089,1.19480288,2.09056592,3.78666615,12,0,1
0.01,11,2.25518894,-3.57879806,-2.13788342,-0.779403687,-1.30398643,0.451318741,5.42789555,-2.48430824,2.12559509,3.15634084,5.75708103,-1.82604194,-0.845948339,1.15688837,6.5699358,1.42867303,0.0893441439,3.04691052,4.9523921,2.52316475,1.95035839,3.22462678,3.8708818,3.39109159,2.94341445,2.52875447,1.6851759,1.0063684,0.904583454,1.19486964,2.09071326,3.78682399,12,0,1
0.01,12,2.25485373,-3.57903886,-2.13763428,-0.779539466,-1.30387211,0.451360106,5.42815638,-2.48414946,2.12573481,3.15671849,5.75696325,-1.82618737,-0.845796764,1.15694654,6.57009554,1.42862189,0.0893404633,3.04701018,4.95257664,2.5231595,1.95037246,3.22474098,3.87102604,3.3911643,2.94343281,2.52874732,1.685166,1.00639558,0.904650867,1.19497144,2.09088922,3.78698659,12,0,1
0.01,13,2.25457859,-3.57920265,-2.13749075,-0.779570937,-1.30392003,0.451577246,5.42792845,-2.4844265,2.12580872,3.15723658,5.75686693,-1.82678986,-0.845534444,1.15702236,6.5702672,1.42850876,0.0893235877,3.04711533,4.95278454,2.52314591,1.95037615,3.22486591,3.87118196,3.39121795,2.94343305,2.52875447,1.6851722,1.00641406,0.904699624,1.19506299,2.09105682,3.78716063,12,0,1
0.01,14,2.25421667,-3.57946968,-2.13716388,-0.779704213,-1.30368948,0.451510072,5.42849207,-2.4841001,2.12604451,3.15761495,5.75671053,-1.82673287,-0.845416427,1.15709996,6.57043695,1.42840755,0.0893572271,3.04723883,4.95297194,2.52312517,1.95038748,3.22498465,3.8713274,3.39128184,2.94344521,2.528754,1.68517554,1.00644684,0.904765129,1.19516027,2.09122467,3.78731036,13,0,1
0.01,15,2.25398874,-3.579597,-2.13710523,-0.779728353,-1.30383408,0.45186466,5.42794514,-2.48457479,2.12602139,3.1581521,5.75664282,-1.8275274,-0.845108628,1.15718532,6.57059765,1.42831588,0.0893136859,3.04732323,4.95318174,2.52313304,1.95039058,3.22509837,3.87147713,3.39134622,2.94345331,2.52875257,1.68517756,1.0064826,0.904831052,1.19526064,2.09139252,3.78748393,12,0,1
0.01,16,2.25367498,-3.57979178,-2.1369102,-0.779796481,-1.30382764,0.452047437,5.42784071,-2.4847393,2.12610102,3.15864635,5.75653124,-1.82800853,-0.844846487,1.15729332,6.57076263,1.42819214,0.0893219113,3.04744577,4.95338202,2.52309847,1.95039439,3.22522759,3.87163091,3.39140058,2.94346285,2.5287621,1.68517661,1.00649667,0.90487963,1.1953547,2.09157014,3.78766561,12,0,1
0.01,17,2.25344515,-3.57989264,-2.13679838,-0.779764771,-1.30386341,0.452366561,5.42734861,-2.48521876,2.1261549,3.15927267,5.75636673,-1.82874024,-0.844544351,1.15735364,6.57093954,1.42808604,0.08928819,3.047544,4.95360136,2.5230968,1.95038903,3.22533774,3.87178254,3.39146805,2.94347358,2.52876425,1.68517828,1.00652289,0.904936135,1.19545162,2.09173584,3.78783369,12,0,1
0.01,18,2.2531538,-3.58008337,-2.13660884,-0.779830515,-1.30383682,0.452533603,5.427279,-2.48535132,2.12624502,3.15973854,5.75626278,-1.82915592,-0.844334185,1.15742242,6.57110834,1.42802978,0.0892821178,3.04764581,4.95377254,2.52310467,1.95043206,3.22547269,3.87191606,3.39150858,2.94348621,2.52878261,1.68518043,1.00653231,0.904979944,1.19553959,2.09190226,3.78800321,12,0,1
0.01,19,2.25281882,-3.58037043,-2.13636947,-0.780002594,-1.30374718,0.452502549,5.42774343,-2.48505664,2.12640572,3.16004324,5.75620699,-1.82922924,-0.844200134,1.15751696,6.57126236,1.42793131,0.0893048793,3.04776239,4.95396471,2.52307701,1.95043325,3.22558641,3.87206388,3.39157748,2.94350123,2.52878141,1.68518221,1.00656664,0.905044496,1.19562817,2.09205675,3.78815222,12,0,1
0.01,20,2.25248194,-3.58062458,-2.13611174,-0.780123234,-1.30362511,0.452559084,5.42795849,-2.48494887,2.12654924,3.16046524,5.75606489,-1.82941949,-0.844016135,1.15759695,6.57142544,1.42782187,0.089307636,3.04787064,4.95416927,2.52305508,1.95042837,3.225703,3.87222219,3.39164519,2.94350696,2.52877927,1.68518186,1.00658607,0.905097485,1.19571865,2.09222436,3.78831625,13,0,1
0.01,21,2.25225115,-3.58073473,-2.13602519,-0.780113876,-1.30373406,0.452879161,5.42751074,-2.48541284,2.12659359,3.16105866,5.75596762,-1.83021259,-0.843714476,1.15766776,6.57159805,1.42773008,0.0892733485,3.04796314,4.95437622,2.52307153,1.95043766,3.22581005,3.87235928,3.39171314,2.94352555,2.52878141,1.68517995,1.00661218,0.905151188,1.19581079,2.09238577,3.78848433,12,0,1
0.01,22,2.25197911,-3.58088398,-2.13586354,-0.780138969,-1.30374086,0.453110367,5.42725801,-2.48569798,2.1266613,3.16160178,5.75583649,-1.83077669,-0.843441546,1.15776348,6.57176685,1.42761922,0.0892777294,3.04808354,4.95457172,2.52304435,1.95045054,3.22594261,3.87251234,3.39176178,2.94352937,2.52879167,1.68518865,1.00663924,0.905208349,1.19590747,2.09255767,3.78865862,12,0,1
0.01,23,2.25161576,-3.58115554,-2.13560176,-0.780291319,-1.30365312,0.453150749,5.42754316,-2.48553848,2.1267817,3.16193604,5.75576305,-1.83093083,-0.843276203,1.15785849,6.57192469,1.42751741,0.089282237,3.04818773,4.95477104,2.52302933,1.95044744,3.22605538,3.87266684,3.3918314,2.94353914,2.52879143,1.6851877,1.00665772,0.905261934,1.1960032,2.09273791,3.78883648,12,0,1
0.01,24,2.251302,-3.58138752,-2.13536572,-0.780402541,-1.30353355,0.453210145,5.42775393,-2.48544192,2.12693977,3.16236711,5.75562239,-1.83110261,-0.843114316,1.15793467,6.5720892,1.42744732,0.0893070623,3.04831243,4.9549365,2.52300262,1.95048845,3.22620153,3.87280273,3.39186621,2.94355321,2.52881312,1.68518972,1.00667536,0.90531975,1.1960969,2.0928998,3.78898716,13,0,1
0.01,25,2.25100565,-3.58159161,-2.13516116,-0.780475676,-1.30348492,0.453312993,5.42781401,-2.48547339,2.12705731,3.1628015,5.75551558,-1.83146513,-0.842915297,1.15798354,6.5722599,1.42735994,0.0892873183,3.04841065,4.95514631,2.52299404,1.95048416,3.22631454,3.87295866,3.39193082,2.94355631,2.52881455,1.68519878,1.00670087,0.905369699,1.19618225,2.09305739,3.78914762,13,0,1
0.01,26,2.2508626,-3.58159208,-2.13515449,-0.780324578,-1.30360806,0.453893304,5.42670298,-2.48644876,2.1270628,3.16366005,5.75528002,-1.83262026,-0.842545033,1.15800393,6.57244873,1.42728496,0.0892158225,3.04849553,4.95537043,2.52301264,1.95048988,3.22642946,3.87310076,3.3919878,2.94357204,2.52882528,1.6851989,1.00672686,0.905424953,1.19627762,2.09321594,3.78932047,12,0,1
0.01,27,2.25049448,-3.58187628,-2.13492155,-0.780506253,-1.30361652,0.453858763,5.42711258,-2.48620439,2.12715244,3.16391325,5.75529814,-1.83283353,-0.842333257,1.15814781,6.57259989,1.42714942,0.0892340764,3.04860377,4.95556784,2.52300239,1.95048881,3.22653389,3.87324929,3.39206719,2.9435842,2.52881217,1.68519342,1.00675392,0.905482531,1.19637191,2.09339213,3.78949189,12,0,1
