dt,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,converged
0.5,0,2.61206651,3.15813065,3.34094381,2.61018682,2.67418003,3.22068405,3.13388109,2.56958818,2.88931632,3.29557323,2.81861234,2.6789875,3.16937208,3.06724191,2.68271565,2.9730947,3.18146229,2.83527613,2.82643509,3.13943028,3.04578781,2.81042862,2.99848843,3.15658832,2.92845201,2.8616631,3.07739615,3.02675605,2.7730279,2.83552098,2.90367103,2.59034586,1
0.5,1,2.61216426,3.1582191,3.34099722,2.61025143,2.67428255,3.22077918,3.13392854,2.56965637,2.8894248,3.29565191,2.81865931,2.67907596,3.16947508,3.0672996,2.68278027,2.97319698,3.18154335,2.83532739,2.82651973,3.13953066,3.04585218,2.81049442,2.99857974,3.1566689,2.92851377,2.86173511,3.07747483,3.0268259,2.77309608,2.83559537,2.90375376,2.59043694,1
0.5,2,2.6122663,3.15832448,3.34104037,2.61030984,2.67440009,3.22087359,3.13396358,2.56973147,2.88953829,3.29572177,2.81870604,2.67916822,3.1695714,3.06735826,2.68284845,2.97329021,3.18162441,2.83539319,2.82660151,3.13962102,3.04592586,2.81056261,2.99866557,3.15675354,2.92857862,2.86180735,3.07756186,3.02689242,2.7731514,2.83567929,2.9038415,2.59051299,1
0.5,3,2.6123631,3.15841341,3.34109664,2.61037588,2.67450309,3.22096944,3.13400793,2.56980109,2.88965154,3.29579926,2.81875062,2.67926145,3.16967463,3.06741285,2.6829164,2.97339582,3.18170142,2.8354466,2.8266921,3.13971519,3.04598737,2.810637,2.99875808,3.1568284,2.9286437,2.86188698,3.07764125,3.02696085,2.77322078,2.8357532,2.90392303,2.59060574,1
0.5,4,2.61247277,3.15851116,3.34113789,2.61044312,2.67461514,3.22106123,3.13405228,2.56987333,2.88975835,3.29587626,2.81879592,2.67934608,3.16977859,3.06747198,2.68297601,2.97349596,3.18178797,2.8355,2.82677579,3.13981843,3.04604936,2.81070113,2.99885988,3.15691209,2.92869616,2.86196852,3.07773185,3.02701545,2.77328229,2.8358438,2.90400171,2.59068489,1
0.5,5,2.61257052,3.15859842,3.34119153,2.61051059,2.674716,3.22115111,3.13410354,2.56994295,2.88986039,3.29595637,2.81884909,2.67943001,3.16987681,3.06753635,2.68303657,2.97359085,3.1818769,2.83555532,2.82684946,3.13991427,3.04612303,2.81076217,2.99894476,3.15699697,2.92875814,2.86203766,3.07781529,3.02708721,2.7733469,2.83592033,2.90408683,2.59077597,1
0.5,6,2.61267543,3.1586926,3.34123683,2.61057591,2.67482686,3.22124505,3.13414478,2.57001257,2.88997126,3.29603362,2.81889319,2.67951655,3.16997981,3.06759644,2.68310022,2.97369146,3.18196082,2.83561254,2.82693434,3.1400106,3.04618669,2.81083131,2.9990387,3.15707421,2.92881727,2.86211801,3.07789779,3.0271461,2.77341318,2.83600283,2.9041636,2.59086037,1
0.5,7,2.61277938,3.15878797,3.34128451,2.61064267,2.67493486,3.22133803,3.13419271,2.57008553,2.89007664,3.29611039,2.81894565,2.67960405,3.17007661,3.06765842,2.68316674,2.97378516,3.18204188,2.83567476,2.82701921,3.14010382,3.04625297,2.8109014,2.99913311,3.15715265,2.92887354,2.86219764,3.077986,3.02720714,2.77347398,2.8360877,2.90424657,2.5909431,1
0.5,8,2.61287308,3.15888453,3.34133697,2.61070085,2.67504334,3.22143483,3.13423276,2.57015729,2.89018989,3.29618359,2.81899095,2.67969799,3.17017722,3.06771135,2.68323326,2.97388721,3.18212175,2.83572888,2.82710242,3.14020252,3.04632187,2.81096506,2.99922299,3.15724039,2.92893744,2.86226821,3.07807207,3.0272789,2.77353406,2.83616567,2.90433598,2.59102654,1
0.5,9,2.61297846,3.15898085,3.34138489,2.61076999,2.67515206,3.22152758,3.13427711,2.57022762,2.89029789,3.29626179,2.8190372,2.67978334,3.17028093,3.06777024,2.68329287,2.97398877,3.18220901,2.83578086,2.82718349,3.14030099,3.04638696,2.81103015,2.99931669,3.15732336,2.92899632,2.86234236,3.07815695,3.02734399,2.77359748,2.83624768,2.90441847,2.5911119,1
0.5,10,2.61307383,3.15907931,3.34143543,2.61082888,2.67526031,3.22162247,3.13432074,2.57029796,2.89040709,3.29634047,2.81908536,2.67986917,3.17038202,3.06783366,2.68335342,2.97408366,3.1822958,2.8358376,2.82725978,3.14039922,3.04645991,2.81109214,2.99940586,3.15740943,2.92905426,2.86241508,3.0782485,3.02740979,2.77365279,2.83633065,2.90450668,2.59119081,1
0.5,11,2.61317492,3.15917635,3.34148335,2.61088991,2.67536974,3.22171545,3.13436127,2.57037091,2.890517,3.29641151,2.81913185,2.67996144,3.17048144,3.06789112,2.6834228,2.97418404,3.18237472,2.83589768,2.82735038,3.14049435,3.04651976,2.81116199,2.9995029,3.15748811,2.92911053,2.86249352,3.07833505,3.02747035,2.77371526,2.83641434,2.90458918,2.59127283,1
0.5,12,2.61327696,3.15926242,3.34153461,2.61096096,2.6754725,3.22180772,3.13441062,2.57044101,2.89062357,3.29649138,2.81918144,2.6800468,3.17058134,3.0679512,2.68348622,2.97428226,3.18245721,2.83595419,2.82743168,3.14058781,3.04658961,2.81123233,2.99958897,3.15756655,2.92917919,2.86256814,3.07841039,3.02753878,2.77378511,2.83648968,2.90466976,2.59136701,1
0.5,13,2.61338091,3.15935516,3.34158301,2.61102891,2.67557931,3.22189927,3.13445926,2.57051277,2.89072824,3.29656887,2.81923151,2.68013334,3.17068124,3.06800961,2.68354964,2.97438216,3.18254137,2.83600879,2.82751584,3.14068699,3.04665613,2.81129789,2.99968195,3.15764856,2.92923832,2.86264515,3.07849693,3.02760339,2.77384782,2.83656979,2.90475154,2.59145474,1
0.5,14,2.61348104,3.15945172,3.34163165,2.61109114,2.67568564,3.22199321,3.13450456,2.57058287,2.89083672,3.29664683,2.819278,2.68021894,3.17078161,3.06807065,2.6836133,2.97448111,3.18262672,2.83606529,2.82759857,3.14078832,3.04672146,2.81135964,2.99977899,3.15773416,2.9292922,2.8627224,3.0785892,3.02766466,2.77390814,2.83665705,2.90483522,2.59153366,1
0.5,15,2.61358404,3.15955162,3.34167624,2.61115623,2.67580199,3.22208667,3.13454223,2.57066083,2.8909502,3.29671669,2.81932735,2.68031716,3.17088223,3.06812549,2.68368316,2.97458148,3.18270373,2.83612323,2.82768536,3.14088154,3.04678798,2.81143141,2.99987197,3.15781403,2.92935038,2.86279798,3.07867527,3.02772737,2.7739687,2.83673978,2.90491748,2.59161377,1
