tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,naccept,nreject,converged
0.01,0,4.77944088,4.53189898,-2.62736559,-2.5,4.77913713,3.62385011,4.96143389,-2.5,-2.62736559,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,1,4.77931738,4.531353,-2.62708807,-2.5,4.77901173,3.62385011,4.96122503,-2.5,-2.62708807,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,2,4.77920341,4.53082848,-2.62680888,-2.5,4.77889585,3.62385011,4.96101761,-2.5,-2.62680888,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,3,4.77906179,4.53023005,-2.62652564,-2.5,4.77875328,3.62385011,4.96079588,-2.5,-2.62652564,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,4,4.77894306,4.5296874,-2.62624073,-2.5,4.77863312,3.62385011,4.96058273,-2.5,-2.62624073,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,5,4.77879667,4.5290699,-2.62595153,-2.5,4.77848434,3.62385011,4.96035433,-2.5,-2.62595153,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,6,4.77866268,4.52848196,-2.62565994,-2.5,4.77834892,3.62385011,4.96012926,-2.5,-2.62566018,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,7,4.77851534,4.5278554,-2.62536454,-2.5,4.77819967,3.62385011,4.95989513,-2.5,-2.62536454,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,8,4.77837181,4.52723551,-2.62506652,-2.5,4.77805328,3.62385011,4.95966101,-2.5,-2.62506676,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,9,4.77822638,4.52660847,-2.62476516,-2.5,4.77790594,3.62385011,4.95942307,-2.5,-2.62476516,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,10,4.7780695,4.52594662,-2.62445974,-2.5,4.77774763,3.62385011,4.95917749,-2.5,-2.62445974,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,11,4.77790928,4.52527428,-2.62415051,-2.5,4.77758551,3.62385011,4.95892763,-2.5,-2.62415051,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,12,4.77774048,4.52457142,-2.62383676,-2.5,4.7774148,3.62385011,4.95866966,-2.5,-2.62383676,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,13,4.7775898,4.52391672,-2.62352228,-2.5,4.77726078,3.62385011,4.9584198,-2.5,-2.62352228,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,14,4.7774148,4.52319336,-2.62320113,-2.5,4.77708483,3.62385011,4.95815372,-2.5,-2.62320137,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,15,4.7772522,4.52249813,-2.62287807,-2.5,4.77691984,3.62385011,4.95789146,-2.5,-2.62287784,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,16,4.77706718,4.52174044,-2.62254882,-2.5,4.77673244,3.62385011,4.9576149,-2.5,-2.62254882,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,17,4.77688742,4.52099037,-2.62221599,-2.5,4.77655029,3.62385011,4.95733786,-2.5,-2.62221599,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,18,4.77671051,4.52024603,-2.62188029,-2.5,4.77637148,3.62385011,4.95705986,-2.5,-2.62188029,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,19,4.7765274,4.51948023,-2.62153959,-2.5,4.77618599,3.62385011,4.95677471,-2.5,-2.62153959,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,20,4.77633286,4.51868105,-2.62119341,-2.5,4.77598953,3.62385011,4.95648003,-2.5,-2.62119341,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
0.01,21,4.77613926,4.51787758,-2.62084341,-2.5,4.7757926,3.62385011,4.95618343,-2.5,-2.62084341,3.62385011,0,3.62385011,-2.5,-2.5,0,24,0
