tol,traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,naccept,nreject,converged
0.01,0,4.00000095,4.00019073,-2.49999976,-2.5,3.99999785,3.62388277,4.00024605,-2.4999969,-2.49999976,3.62385225,0,3.62384915,-2.5,-2.4999969,17,66,0
0.01,1,4.00185728,4.00118876,-2.49970365,-2.5,4.00186253,3.62388086,4.00152445,-2.49999714,-2.49970365,3.62385178,0,3.62384939,-2.5,-2.49999714,16,62,0
0.01,2,4.00391912,4.00342894,-2.49995708,-2.5,4.00393057,3.62388062,4.0033946,-2.49999714,-2.49995708,3.62385201,0,3.62384939,-2.5,-2.49999714,16,63,0
0.01,3,4.00586557,4.00703859,-2.50024223,-2.5,4.00584507,3.6238811,4.00679827,-2.49999714,-2.50024223,3.62385201,0,3.62384915,-2.5,-2.49999714,15,60,0
0.01,4,4.00729561,4.00555182,-2.49913049,-2.5,4.00730324,3.62387872,4.0069437,-2.49999738,-2.49913049,3.62385154,0,3.62384939,-2.5,-2.49999738,15,60,0
0.01,5,4.0096097,4.00968027,-2.49973083,-2.5,4.00959492,3.62388039,4.01020908,-2.49999738,-2.49973083,3.62385201,0,3.62384939,-2.5,-2.49999738,15,60,0
0.01,6,4.01255369,4.01639271,-2.50164342,-2.5,4.01251173,3.6238811,4.01430225,-2.49999714,-2.50164342,3.62385201,0,3.62384915,-2.5,-2.49999714,14,56,0
0.01,7,4.01365185,4.01624632,-2.50037241,-2.5,4.01359177,3.62388062,4.01594639,-2.49999714,-2.50037241,3.62385201,0,3.62384939,-2.5,-2.49999714,13,51,0
0.01,8,4.01571608,4.01612043,-2.50022817,-2.5,4.01571703,3.62388134,4.01594782,-2.49999714,-2.50022817,3.62385201,0,3.62384915,-2.5,-2.49999714,15,58,0
0.01,9,4.01753426,4.01752424,-2.49985433,-2.5,4.01752615,3.62388301,4.01768589,-2.4999969,-2.49985433,3.62385249,0,3.62384915,-2.5,-2.4999969,16,61,0
0.01,10,4.01961565,4.02043056,-2.50044012,-2.5,4.01961565,3.62388277,4.01985884,-2.4999969,-2.50043988,3.62385225,0,3.62384915,-2.5,-2.4999969,15,58,0
0.01,11,4.02150345,4.02151346,-2.50009871,-2.5,4.02150774,3.62387729,4.02142763,-2.49999762,-2.50009871,3.62385154,0,3.62384939,-2.5,-2.49999762,17,66,0
0.01,12,4.02342701,4.02327967,-2.49997663,-2.5,4.02342844,3.62388277,4.02326822,-2.4999969,-2.49997663,3.62385225,0,3.62384915,-2.5,-2.4999969,16,64,0
0.01,13,4.02526665,4.02468348,-2.49963093,-2.5,4.02526665,3.62387705,4.02514648,-2.49999785,-2.49963164,3.62385154,0,3.62384939,-2.5,-2.49999785,16,63,0
0.01,14,4.02747393,4.02782249,-2.50024319,-2.5,4.02747583,3.62387681,4.02753925,-2.49999809,-2.50024319,3.62385154,0,3.62384939,-2.5,-2.49999809,17,66,0
0.01,15,4.02892017,4.02768326,-2.49924755,-2.5,4.0289216,3.62388039,4.02878952,-2.49999738,-2.49924827,3.62385201,0,3.62384939,-2.5,-2.49999738,15,60,0
0.01,16,4.03110123,4.03132153,-2.49971247,-2.5,4.03108454,3.62388253,4.03168488,-2.4999969,-2.49971247,3.62385225,0,3.62384915,-2.5,-2.4999969,15,60,0
