framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,0,0.665836
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,0,0.583289
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,1,0.530281
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,1,0.448011
julia,tsit5,performance,adaptive,julia,both,8,tol,1.0e-8,0,0.417924
julia,tsit5,performance,adaptive,julia,none,8,tol,1.0e-8,0,0.333384
julia,tsit5,performance,adaptive,julia,both,8,tol,1.0e-8,1,0.385221
julia,tsit5,performance,adaptive,julia,none,8,tol,1.0e-8,1,0.370836
julia,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,0,0.483865
julia,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,0,0.448736
julia,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,1,0.496612
julia,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,1,0.449873
julia,tsit5,performance,adaptive,julia,both,32,tol,1.0e-8,0,0.336975
julia,tsit5,performance,adaptive,julia,none,32,tol,1.0e-8,0,0.29781
julia,tsit5,performance,adaptive,julia,both,32,tol,1.0e-8,1,0.337795
julia,tsit5,performance,adaptive,julia,none,32,tol,1.0e-8,1,0.298091
julia,vern7,performance,fixed,fixed,both,8,dt,0.0009765625,0,0.760623
julia,vern7,performance,fixed,fixed,none,8,dt,0.0009765625,0,1.807241
julia,vern7,performance,fixed,fixed,both,8,dt,0.0009765625,1,0.841673
julia,vern7,performance,fixed,fixed,none,8,dt,0.0009765625,1,0.82017
julia,vern7,performance,adaptive,julia,both,8,tol,1.0e-8,0,0.646186
julia,vern7,performance,adaptive,julia,none,8,tol,1.0e-8,0,0.537425
julia,vern7,performance,adaptive,julia,both,8,tol,1.0e-8,1,0.614626
julia,vern7,performance,adaptive,julia,none,8,tol,1.0e-8,1,0.572233
julia,vern7,performance,fixed,fixed,both,32,dt,0.0009765625,0,0.707133
julia,vern7,performance,fixed,fixed,none,32,dt,0.0009765625,0,0.662402
julia,vern7,performance,fixed,fixed,both,32,dt,0.0009765625,1,0.669685
julia,vern7,performance,fixed,fixed,none,32,dt,0.0009765625,1,0.619658
julia,vern7,performance,adaptive,julia,both,32,tol,1.0e-8,0,0.579048
julia,vern7,performance,adaptive,julia,none,32,tol,1.0e-8,0,0.56935
julia,vern7,performance,adaptive,julia,both,32,tol,1.0e-8,1,0.617606
julia,vern7,performance,adaptive,julia,none,32,tol,1.0e-8,1,0.570735
