framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
cubie,tsit5,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
cubie,tsit5,performance,adaptive,default,8,tol,1e-08,,8,0,
cubie,tsit5,performance,adaptive,pi,8,tol,1e-08,,8,0,
cubie,tsit5,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
cubie,tsit5,performance,adaptive,default,32,tol,1e-08,,32,0,
cubie,tsit5,performance,adaptive,pi,32,tol,1e-08,,32,0,
cubie,vern7,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
cubie,vern7,performance,adaptive,default,8,tol,1e-08,,8,0,
cubie,vern7,performance,adaptive,pi,8,tol,1e-08,,8,0,
cubie,vern7,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
cubie,vern7,performance,adaptive,default,32,tol,1e-08,,32,0,
cubie,vern7,performance,adaptive,pi,32,tol,1e-08,,32,0,
cubie,rosenbrock23_sciml,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
cubie,rosenbrock23_sciml,performance,adaptive,default,8,tol,1e-08,,8,0,
cubie,rosenbrock23_sciml,performance,adaptive,pi,8,tol,1e-08,,8,0,
cubie,rosenbrock23_sciml,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
cubie,rosenbrock23_sciml,performance,adaptive,default,32,tol,1e-08,,32,0,
cubie,rosenbrock23_sciml,performance,adaptive,pi,32,tol,1e-08,,32,0,
cubie,kvaerno3,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
cubie,kvaerno3,performance,adaptive,default,8,tol,1e-08,,8,0,
cubie,kvaerno3,performance,adaptive,pi,8,tol,1e-08,,8,0,
cubie,kvaerno3,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
cubie,kvaerno3,performance,adaptive,default,32,tol,1e-08,,32,0,
cubie,kvaerno3,performance,adaptive,pi,32,tol,1e-08,,32,0,
cubie,kvaerno5,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
cubie,kvaerno5,performance,adaptive,default,8,tol,1e-08,,8,0,
cubie,kvaerno5,performance,adaptive,pi,8,tol,1e-08,,8,0,
cubie,kvaerno5,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
cubie,kvaerno5,performance,adaptive,default,32,tol,1e-08,,32,0,
cubie,kvaerno5,performance,adaptive,pi,32,tol,1e-08,,32,0,
