framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,0,4.870748001849279
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,0,0.7768960058456287
cubie,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,1,5.219787009991705
cubie,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,1,0.9112779953284189
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,0,4.800843002158217
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,0,0.7519969949498773
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,1,4.65706099930685
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,1,0.7682809955440462
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,0,5.002656005672179
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,0,0.7303250022232533
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,1,5.032156012021005
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,1,0.7025840022834018
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,0,3.5322010080562904
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,0,0.724761004676111
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,1,3.6909839982399717
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,1,0.8888529991963878
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,0,3.600254000048153
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,0,0.5945199955021963
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,1,4.879772997810505
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,1,0.757004992919974
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,0,5.317659990396351
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,0,1.937088993145153
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,1,5.656350011122413
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,1,1.1281890037935227
cubie,vern7,performance,fixed,fixed,both,8,dt,0.0009765625,0,5.772753007477149
cubie,vern7,performance,fixed,fixed,none,8,dt,0.0009765625,0,2.189177001127973
cubie,vern7,performance,fixed,fixed,both,8,dt,0.0009765625,1,6.234694999875501
cubie,vern7,performance,fixed,fixed,none,8,dt,0.0009765625,1,2.149799998733215
cubie,vern7,performance,adaptive,default,both,8,tol,1e-08,0,4.69118999899365
cubie,vern7,performance,adaptive,default,none,8,tol,1e-08,0,0.6791999912820756
cubie,vern7,performance,adaptive,default,both,8,tol,1e-08,1,5.472288001328707
cubie,vern7,performance,adaptive,default,none,8,tol,1e-08,1,1.780043006874621
cubie,vern7,performance,adaptive,pi,both,8,tol,1e-08,0,4.701735990238376
cubie,vern7,performance,adaptive,pi,none,8,tol,1e-08,0,0.6219839997356758
cubie,vern7,performance,adaptive,pi,both,8,tol,1e-08,1,6.78267799958121
cubie,vern7,performance,adaptive,pi,none,8,tol,1e-08,1,2.1670689893653616
cubie,vern7,performance,fixed,fixed,both,32,dt,0.0009765625,0,5.506731002242304
cubie,vern7,performance,fixed,fixed,none,32,dt,0.0009765625,0,1.0003399947891012
cubie,vern7,performance,fixed,fixed,both,32,dt,0.0009765625,1,4.1308910003863275
cubie,vern7,performance,fixed,fixed,none,32,dt,0.0009765625,1,1.0447459935676306
cubie,vern7,performance,adaptive,default,both,32,tol,1e-08,0,4.591942997649312
cubie,vern7,performance,adaptive,default,none,32,tol,1e-08,0,0.7056860049488023
cubie,vern7,performance,adaptive,default,both,32,tol,1e-08,1,3.624082004535012
cubie,vern7,performance,adaptive,default,none,32,tol,1e-08,1,0.6921150052221492
cubie,vern7,performance,adaptive,pi,both,32,tol,1e-08,0,4.731549997814
cubie,vern7,performance,adaptive,pi,none,32,tol,1e-08,0,0.8000200032256544
cubie,vern7,performance,adaptive,pi,both,32,tol,1e-08,1,4.987113003153354
cubie,vern7,performance,adaptive,pi,none,32,tol,1e-08,1,0.793379993410781
cubie,rosenbrock23_sciml,performance,fixed,fixed,both,8,dt,0.0009765625,0,3.8350670074578375
cubie,rosenbrock23_sciml,performance,fixed,fixed,none,8,dt,0.0009765625,0,1.786212989827618
cubie,rosenbrock23_sciml,performance,fixed,fixed,both,8,dt,0.0009765625,1,3.423875998123549
cubie,rosenbrock23_sciml,performance,fixed,fixed,none,8,dt,0.0009765625,1,1.6226250008912757
cubie,rosenbrock23_sciml,performance,adaptive,default,both,8,tol,1e-08,0,5.930622006417252
cubie,rosenbrock23_sciml,performance,adaptive,default,none,8,tol,1e-08,0,6.840483998530544
cubie,rosenbrock23_sciml,performance,adaptive,default,both,8,tol,1e-08,1,7.493233002605848
cubie,rosenbrock23_sciml,performance,adaptive,default,none,8,tol,1e-08,1,5.00176299829036
cubie,rosenbrock23_sciml,performance,adaptive,pi,both,8,tol,1e-08,0,6.731596004101448
cubie,rosenbrock23_sciml,performance,adaptive,pi,none,8,tol,1e-08,0,5.9829990059370175
cubie,rosenbrock23_sciml,performance,adaptive,pi,both,8,tol,1e-08,1,6.628508999710903
cubie,rosenbrock23_sciml,performance,adaptive,pi,none,8,tol,1e-08,1,5.958535009995103
cubie,rosenbrock23_sciml,performance,fixed,fixed,both,32,dt,0.0009765625,0,4.4360159954521805
