framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
cubie,kvaerno3,performance,adaptive,default,both,32,tol,1e-08,2,197.6394219964277,197.91612079643528,200.4064099965035,202.89669919657172,203.1733979965793
cubie,kvaerno3,performance,adaptive,default,both,8,tol,1e-08,2,106.03788499429356,106.27890214454965,108.4480564968544,110.61721084915916,110.85822799941525
cubie,kvaerno3,performance,adaptive,default,none,32,tol,1e-08,2,197.58441900194157,197.76980500173522,199.4382789998781,201.10675299802097,201.29213899781462
cubie,kvaerno3,performance,adaptive,default,none,8,tol,1e-08,2,104.78808400512207,104.79317780482234,104.8390220021247,104.88486619942705,104.88995999912731
cubie,kvaerno3,performance,adaptive,pi,both,32,tol,1e-08,2,157.60614800092299,157.80127280086163,159.55739600030938,161.31351919975714,161.50864399969578
cubie,kvaerno3,performance,adaptive,pi,both,8,tol,1e-08,2,90.81488000811078,90.8946382573049,91.61246250005206,92.33028674279922,92.41004499199335
cubie,kvaerno3,performance,adaptive,pi,none,32,tol,1e-08,2,151.27450399450026,151.4849767452688,153.37923150218558,155.27348625910236,155.4839590098709
cubie,kvaerno3,performance,adaptive,pi,none,8,tol,1e-08,2,87.2596720000729,87.5377901502361,90.04085350170499,92.54391685317387,92.82203500333708
cubie,kvaerno3,performance,fixed,fixed,both,32,dt,0.0009765625,2,4.46380399807822,4.472905448346864,4.554818500764668,4.6367315531824715,4.645833003451116
cubie,kvaerno3,performance,fixed,fixed,both,8,dt,0.0009765625,2,3.9187309885164723,3.934563638904365,4.077057492395397,4.21955134588643,4.235383996274322
cubie,kvaerno3,performance,fixed,fixed,none,32,dt,0.0009765625,2,2.4963780015241355,2.5190289015881717,2.722887002164498,2.9267451027408242,2.9493960028048605
cubie,kvaerno3,performance,fixed,fixed,none,8,dt,0.0009765625,2,2.4473759985994548,2.506942648324184,3.0430424958467484,3.5791423433693126,3.638708993094042
cubie,kvaerno5,performance,adaptive,default,both,32,tol,1e-08,2,277.91124100622255,277.9113325057551,277.9121560015483,277.91297949734144,277.913070996874
cubie,kvaerno5,performance,adaptive,default,both,8,tol,1e-08,2,107.8431299974909,107.85795459814835,107.99137600406539,108.12479740998242,108.13962201063987
cubie,kvaerno5,performance,adaptive,default,none,32,tol,1e-08,2,276.7408579966286,276.9494081461744,278.82635949208634,280.7033108379983,280.91186098754406
cubie,kvaerno5,performance,adaptive,default,none,8,tol,1e-08,2,102.63554900302552,102.8485395530879,104.76545450364938,106.68236945421086,106.89536000427324
cubie,kvaerno5,performance,adaptive,pi,both,32,tol,1e-08,2,104.01960099989083,104.22894505027216,106.11304150370415,107.99713795713615,108.20648200751748
cubie,kvaerno5,performance,adaptive,pi,both,8,tol,1e-08,2,39.8040919972118,39.8146856976382,39.91002900147578,40.00537230531336,40.015966005739756
cubie,kvaerno5,performance,adaptive,pi,none,32,tol,1e-08,2,106.94387000694405,107.1514294068038,109.01946400554152,110.88749860427924,111.09505800413899
cubie,kvaerno5,performance,adaptive,pi,none,8,tol,1e-08,2,38.97470400261227,39.17386700268253,40.96633400331484,42.758801003947156,42.95796400401741
cubie,kvaerno5,performance,fixed,fixed,both,32,dt,0.0009765625,2,7.809381990227848,7.9378877409908455,9.09443949785782,10.250991254724795,10.379497005487792
cubie,kvaerno5,performance,fixed,fixed,both,8,dt,0.0009765625,2,7.590516994241625,7.7624488942092285,9.309835993917659,10.85722309362609,11.029154993593693
cubie,kvaerno5,performance,fixed,fixed,none,32,dt,0.0009765625,2,6.867909993161447,6.885568943107501,7.044499492621981,7.2034300421364605,7.221088992082514
cubie,kvaerno5,performance,fixed,fixed,none,8,dt,0.0009765625,2,6.787910999264568,6.813925249298336,7.048053499602247,7.282181749906158,7.308195999939926
cubie,rosenbrock23_sciml,performance,adaptive,default,both,32,tol,1e-08,2,5.997676998958923,6.006206348683918,6.082970496208873,6.159734643733827,6.168263993458822
