framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,tsit5,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,tsit5,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,vern7,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,vern7,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,vern7,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,vern7,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,rosenbrock23_sciml,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,rosenbrock23_sciml,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,kvaerno3,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,kvaerno3,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,kvaerno3,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,kvaerno3,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,kvaerno5,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,kvaerno5,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,kvaerno5,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,kvaerno5,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
